Datetime,Open,High,Low,Close,Volume
2022-03-07 09:30:00-05:00,936.451416015625,936.451416015625,935.0526123046876,935.2625122070312,0
2022-03-07 10:30:00-05:00,935.267578125,935.5737915039062,935.2028198242188,935.5040893554688,0
2022-03-07 11:30:00-05:00,935.4561157226562,935.597412109375,935.3131713867188,935.375,0
2022-03-08 09:30:00-05:00,923.093505859375,923.3182983398438,922.3397827148438,922.7872924804688,0
2022-03-08 10:30:00-05:00,922.8410034179688,922.9503173828124,921.0623779296876,921.4815063476562,0
2022-03-08 11:30:00-05:00,921.4793701171876,921.5712890625,921.1734008789062,921.1734008789062,0
2022-03-09 09:30:00-05:00,935.3558959960938,936.4155883789062,935.1795043945312,935.8563842773438,0
2022-03-09 10:30:00-05:00,935.9188842773438,937.022705078125,935.8276977539062,937.01171875,0
2022-03-09 11:30:00-05:00,936.97119140625,937.1580200195312,936.40380859375,936.40380859375,0
2022-03-10 09:30:00-05:00,947.0587768554688,947.7930297851562,946.809326171875,947.5003051757812,0
2022-03-10 10:30:00-05:00,947.4827880859376,947.7921142578124,946.9808959960938,947.2813720703124,0
2022-03-10 11:30:00-05:00,947.287109375,947.7343139648438,947.2698974609376,947.7343139648438,0
2022-03-11 09:30:00-05:00,947.3618774414062,947.5360107421876,946.9797973632812,947.2979736328124,0
2022-03-11 10:30:00-05:00,947.297607421875,947.38330078125,946.27587890625,946.27587890625,0
2022-03-11 11:30:00-05:00,946.2849731445312,947.1259765625,946.1671752929688,947.1259765625,0
2022-03-14 09:30:00-04:00,939.4166259765624,939.905029296875,939.10009765625,939.7509765625,0
2022-03-14 10:30:00-04:00,939.7333984375,940.1923828125,939.7052001953124,939.8687133789062,0
2022-03-14 11:30:00-04:00,939.8948974609376,940.081298828125,939.450927734375,939.828125,0
2022-03-14 12:30:00-04:00,939.8372192382812,939.9691772460938,939.594482421875,939.594482421875,0
2022-03-15 09:30:00-04:00,939.9005126953124,940.6193237304688,939.7855834960938,940.2296142578124,0
2022-03-15 10:30:00-04:00,940.235595703125,940.4561767578124,939.6226196289062,939.7086791992188,0
2022-03-15 11:30:00-04:00,939.7662963867188,939.9464111328124,938.618408203125,938.8480834960938,0
2022-03-15 12:30:00-04:00,938.8425903320312,939.1380004882812,938.8425903320312,939.1380004882812,0
