Datetime,Change_1D_%,Volume_1D,Change_2D_%,Volume_2D,Change_3D_%,Volume_3D,Change_5D_%,Volume_5D,NextDay_Hour1_Return_%,NextDay_Hour1_Open_Positive,NextDay_Hour2_Return_%,NextDay_Hour2_Open_Positive,NextDay_Hour3_Return_%,NextDay_Hour3_Open_Positive
2022-06-21 00:00:00+00:00,2.52,68566595.0,2.23,162239774.0,-1.07,276886363.0,0.02,487456755.0,1.67,1.0,1.64,1.0,1.32,1.0
2022-06-22 00:00:00+00:00,-0.18,78303947.0,2.34,146870542.0,2.04,240543721.0,0.15,468055699.0,-0.07,0.0,0.08,1.0,-0.54,0.0
2022-06-23 00:00:00+00:00,0.99,69632303.0,0.81,147936250.0,3.35,216502845.0,-0.27,424822613.0,1.34,1.0,1.44,1.0,1.43,1.0
2022-06-24 00:00:00+00:00,3.16,80373819.0,4.19,150006122.0,4.0,228310069.0,6.32,390549843.0,-0.75,0.0,-0.06,0.0,-0.51,0.0
2022-06-27 00:00:00+00:00,-0.36,58738240.0,2.79,139112059.0,3.81,208744362.0,6.23,355614904.0,-0.16,0.0,-1.14,0.0,-1.36,0.0
2022-06-28 00:00:00+00:00,-2.04,75278179.0,-2.39,134016419.0,0.69,214390238.0,1.51,362326488.0,-0.03,0.0,-0.34,0.0,-0.69,0.0
2022-06-29 00:00:00+00:00,-0.09,60983551.0,-2.13,136261730.0,-2.48,194999970.0,1.6,345006092.0,-0.72,0.0,0.27,1.0,0.96,1.0
2022-06-30 00:00:00+00:00,-0.81,96405247.0,-0.9,157388798.0,-2.92,232666977.0,-0.22,371779036.0,-0.59,0.0,-0.26,0.0,-0.11,0.0
2022-07-01 00:00:00+00:00,1.04,66742326.0,0.22,163147573.0,0.13,224131124.0,-2.27,358147543.0,-0.38,0.0,-0.56,0.0,0.21,1.0
2022-07-05 00:00:00+00:00,0.2,71765279.0,1.24,138507605.0,0.42,234912852.0,-1.72,371174582.0,0.06,1.0,-0.36,0.0,-0.34,0.0
2022-07-06 00:00:00+00:00,0.35,63619782.0,0.55,135385061.0,1.6,202127387.0,0.68,359516185.0,0.45,1.0,0.52,1.0,0.75,1.0
2022-07-07 00:00:00+00:00,1.47,55948949.0,1.83,119568731.0,2.03,191334010.0,2.26,354481583.0,0.47,1.0,0.79,1.0,0.18,1.0
2022-07-08 00:00:00+00:00,-0.07,62846031.0,1.4,118794980.0,1.76,182414762.0,3.02,320922367.0,-0.4,0.0,-0.21,0.0,-0.3,0.0
2022-07-11 00:00:00+00:00,-1.13,50649135.0,-1.2,113495166.0,0.25,169444115.0,0.81,304829176.0,-0.18,0.0,0.36,1.0,0.26,1.0
2022-07-12 00:00:00+00:00,-0.89,54249150.0,-2.01,104898285.0,-2.08,167744316.0,-0.29,287313047.0,0.13,1.0,0.72,1.0,0.99,1.0
2022-07-13 00:00:00+00:00,-0.53,76547296.0,-1.41,130796446.0,-2.53,181445581.0,-1.16,300240561.0,-0.44,0.0,0.16,1.0,0.16,1.0
2022-07-14 00:00:00+00:00,-0.24,78540625.0,-0.76,155087921.0,-1.64,209337071.0,-2.83,322832237.0,0.28,1.0,0.34,1.0,0.19,1.0
2022-07-15 00:00:00+00:00,1.89,69557660.0,1.65,148098285.0,1.11,224645581.0,-0.92,329543866.0,-0.16,0.0,-0.19,0.0,-0.13,0.0
2022-07-18 00:00:00+00:00,-0.81,54317892.0,1.07,123875552.0,0.83,202416177.0,-0.6,333212623.0,0.51,1.0,0.84,1.0,0.96,1.0
2022-07-19 00:00:00+00:00,2.69,68090975.0,1.86,122408867.0,3.78,191966527.0,2.99,347054448.0,0.27,1.0,0.69,1.0,0.76,1.0
2022-07-20 00:00:00+00:00,0.65,62653652.0,3.35,130744627.0,2.52,185062519.0,4.21,333160804.0,-0.53,0.0,0.16,1.0,0.81,1.0
2022-07-21 00:00:00+00:00,1.02,57762699.0,1.67,120416351.0,4.41,188507326.0,5.52,312382878.0,-0.11,0.0,-0.55,0.0,-0.84,0.0
2022-07-22 00:00:00+00:00,-0.93,61259687.0,0.08,119022386.0,0.73,181676038.0,2.6,304084905.0,-0.28,0.0,-0.04,0.0,-0.12,0.0
2022-07-25 00:00:00+00:00,0.11,45735930.0,-0.82,106995617.0,0.19,164758316.0,3.55,295502943.0,-0.33,0.0,-0.63,0.0,-0.66,0.0
2022-07-26 00:00:00+00:00,-1.17,47451796.0,-1.06,93187726.0,-1.98,154447413.0,-0.34,274863764.0,0.35,1.0,0.45,1.0,0.62,1.0
2022-07-27 00:00:00+00:00,2.58,70221438.0,1.38,117673234.0,1.49,163409164.0,1.57,282431550.0,-0.93,0.0,0.34,1.0,0.43,1.0
2022-07-28 00:00:00+00:00,1.25,63725863.0,3.86,133947301.0,2.65,181399097.0,1.8,288394714.0,0.74,1.0,0.18,1.0,0.5,1.0
2022-07-29 00:00:00+00:00,1.49,67740644.0,2.76,131466507.0,5.41,201687945.0,4.29,294875671.0,0.21,1.0,0.84,1.0,0.65,1.0
2022-08-01 00:00:00+00:00,-0.32,61683909.0,1.16,129424553.0,2.43,193150416.0,3.84,310823650.0,0.07,1.0,0.39,1.0,0.9,1.0
2022-08-02 00:00:00+00:00,-0.64,55749260.0,-0.95,117433169.0,0.52,185173813.0,4.4,319121114.0,0.33,1.0,0.53,1.0,0.71,1.0
2022-08-03 00:00:00+00:00,1.54,56696332.0,0.9,112445592.0,0.58,174129501.0,3.35,305596008.0,-0.21,0.0,-0.24,0.0,0.06,1.0
2022-08-04 00:00:00+00:00,-0.06,40911939.0,1.48,97608271.0,0.84,153357531.0,2.01,282782084.0,0.92,1.0,0.14,1.0,0.49,1.0
2022-08-05 00:00:00+00:00,-0.17,52710224.0,-0.23,93622163.0,1.31,150318495.0,0.34,267751664.0,0.37,1.0,0.12,1.0,-0.58,0.0
2022-08-08 00:00:00+00:00,-0.11,49698368.0,-0.28,102408592.0,-0.34,143320531.0,0.56,255766123.0,-0.13,0.0,-0.07,0.0,-0.4,0.0
2022-08-09 00:00:00+00:00,-0.4,40969920.0,-0.51,90668288.0,-0.68,143378512.0,0.79,240986783.0,-0.22,0.0,0.17,1.0,0.05,1.0
2022-08-10 00:00:00+00:00,2.09,61837991.0,1.68,102807911.0,1.57,152506279.0,1.33,246128442.0,0.22,1.0,-0.19,0.0,-0.22,0.0
2022-08-11 00:00:00+00:00,0.01,52247562.0,2.11,114085553.0,1.69,155055473.0,1.41,257464065.0,0.12,1.0,0.33,1.0,0.52,1.0
2022-08-12 00:00:00+00:00,1.68,51728752.0,1.7,103976314.0,3.82,165814305.0,3.29,256482593.0,0.3,1.0,0.37,1.0,0.84,1.0
2022-08-15 00:00:00+00:00,0.42,47812237.0,2.11,99540989.0,2.12,151788551.0,3.84,254596462.0,0.01,1.0,0.32,1.0,0.53,1.0
2022-08-16 00:00:00+00:00,0.19,51552210.0,0.61,99364447.0,2.3,151093199.0,4.46,265178752.0,0.16,1.0,0.06,1.0,0.07,1.0
2022-08-17 00:00:00+00:00,-0.71,58638249.0,-0.52,110190459.0,-0.1,158002696.0,1.6,261979010.0,-0.2,0.0,0.12,1.0,-0.09,0.0
2022-08-18 00:00:00+00:00,0.28,42453500.0,-0.43,101091749.0,-0.24,152643959.0,1.86,252184948.0,-0.42,0.0,-0.64,0.0,-0.57,0.0
2022-08-19 00:00:00+00:00,-1.33,59101181.0,-1.06,101554681.0,-1.75,160192930.0,-1.15,259557377.0,-0.52,0.0,-0.49,0.0,-0.46,0.0
2022-08-22 00:00:00+00:00,-2.07,63482975.0,-3.37,122584156.0,-3.1,165037656.0,-3.6,275228115.0,0.27,1.0,-0.02,0.0,-0.26,0.0
2022-08-23 00:00:00+00:00,-0.27,44828919.0,-2.33,108311894.0,-3.63,167413075.0,-4.04,268504824.0,0.28,1.0,0.57,1.0,0.55,1.0
