Datetime,SPY_Daily_Close,Change_1D_%,Volume_1D_%,Change_2D_%,Volume_2D_%,Change_3D_%,Volume_3D_%,Change_5D_%,Volume_5D_%,NextDay_Hour1_Return_%,NextDay_Hour1_Open_Positive,NextDay_Hour2_Return_%,NextDay_Hour2_Open_Positive,NextDay_Hour3_Return_%,NextDay_Hour3_Open_Positive,EURUSD=X_Daily_Close,EURUSD=X_Change_1H_%,EURUSD=X_Change_7H_%,EURUSD=X_Change_24H_%,^FTSE_Daily_Close,^FTSE_Change_1H_%,^FTSE_Change_24H_%,^NQSG_Daily_Close,^NQSG_Change_24H_%
2022-03-21 00:00:00+00:00,444.4299926757813,-0.01,-7.74,0.78,-21.1,2.02,-18.48,6.57,-6.36,0.54,1.0,0.72,1.0,0.43,1.0,,,,,7451.419921875,0.10357685855519883,1.9965596355568938,979.005126953125,3.365882805403264
2022-03-22 00:00:00+00:00,449.5799865722656,1.16,-16.34,1.15,-14.19,1.94,-23.43,5.5,-1.1,0.14,1.0,0.25,1.0,0.09,1.0,,,,,7463.64013671875,-0.09236149338162081,1.802917515549618,975.6627197265624,3.8387025444975853
2022-03-23 00:00:00+00:00,443.8200073242188,-1.28,-3.79,-0.14,-21.23,-0.15,-29.09,1.88,-19.7,-0.11,0.0,0.51,1.0,0.29,1.0,,,,,7462.16015625,-0.0715077837294964,0.11457572197444144,984.7647705078124,4.858366927523816
2022-03-24 00:00:00+00:00,450.4200134277344,1.49,-12.49,0.19,-17.82,1.35,-25.3,2.13,-25.41,0.15,1.0,-0.46,0.0,-0.2,0.0,,,,,7481.4599609375,0.06607273695977689,-0.002140662683902672,992.9158935546876,3.7662160884723406
2022-03-25 00:00:00+00:00,452.6600036621094,0.5,17.7,1.99,-6.58,0.69,-19.93,1.84,-30.33,0.18,1.0,0.08,1.0,-0.32,0.0,,,,,7485.2001953125,0.08852104434722285,-0.23896277660169218,998.2418212890624,2.8310036042294984
2022-03-28 00:00:00+00:00,455.8599853515625,0.71,-10.95,1.21,3.85,2.71,-14.0,2.57,-33.65,-0.34,0.0,-0.2,0.0,-0.41,0.0,,,,,7482.56005859375,-0.03206299507645394,0.2368447457802736,998.7529907226562,2.6609936044104776
2022-03-29 00:00:00+00:00,461.5799865722656,1.25,34.23,1.97,12.77,2.48,9.05,2.67,-26.86,-0.04,0.0,-0.26,0.0,-0.18,0.0,,,,,7532.10986328125,0.05007770118641286,0.6709477390518526,1004.6226806640624,2.6199361539218646
2022-03-30 00:00:00+00:00,458.7099914550781,-0.62,-14.84,0.63,17.07,1.34,10.04,3.35,-14.12,-0.16,0.0,-0.05,0.0,-0.21,0.0,,,,,7559.85986328125,0.009127211233250776,0.6225137793361757,1009.6497192382812,3.428461885856615
2022-03-31 00:00:00+00:00,451.6400146484375,-1.54,37.85,-2.15,16.07,-0.93,31.98,0.27,3.06,-0.49,0.0,-0.36,0.0,-0.64,0.0,,,,,7533.56005859375,-0.2135205308327115,-0.41980730970986313,999.5029296875,2.443488869557209
2022-04-01 00:00:00+00:00,452.8900146484375,0.28,-23.44,-1.27,11.94,-1.88,13.27,0.05,10.83,0.4,1.0,0.49,1.0,0.57,1.0,,,,,7536.14990234375,-0.08895778337556504,-0.11147311685086869,999.6292114257812,1.5093967278471565
2022-04-04 00:00:00+00:00,456.7699890136719,0.86,-30.87,1.14,-24.95,-0.42,3.75,0.2,15.11,-0.17,0.0,-0.15,0.0,-0.54,0.0,,,,,7570.85986328125,0.15954991407856056,0.016377916917331703,1000.2542114257812,0.7505929673375933
2022-04-05 00:00:00+00:00,451.1000061035156,-1.24,33.63,-0.4,-29.96,-0.12,-22.32,-2.27,6.6,-0.56,0.0,-0.46,0.0,-0.58,0.0,,,,,7595.02001953125,0.1192966019005981,0.7748818626345244,1008.1951904296876,0.9442083061340201
